#source_X source_Y lens_X lens_Y separation f1_ratio chi^2
896.671509 822.634155 890.238953 824.109802 65.600471496582031 0.844680071 784.74687733499786
896.630371 822.581177 890.333008 824.251953 64.761421203613281 0.843297780 786.70617098993034
896.690369 822.681824 890.311951 824.192078 65.154464721679688 0.843816221 793.60562557005551
896.699951 822.576355 890.453674 824.306152 64.424827575683594 0.844309151 787.62937228135047
896.734802 822.600464 890.332520 824.242432 65.698272705078125 0.837306678 793.43757011630453
896.582947 822.609558 890.356750 824.264099 64.036308288574219 0.844882309 795.36602512725665
896.740723 822.586121 890.405945 824.358521 65.385864257812500 0.840120077 794.86149057681280
896.622559 822.662598 890.217224 824.427368 66.041351318359375 0.848472118 790.03666615760699
896.580994 822.562561 890.049500 824.368347 67.358642578125000 0.860526025 790.14987070264624
896.590759 822.642517 889.946716 824.518738 68.624526977539062 0.860619962 786.53047135782788
896.642639 822.655212 890.033997 824.480591 68.149673461914062 0.848620176 789.01044191295171
896.591003 822.654297 889.841125 824.584167 69.782234191894531 0.860509574 789.75404327311253
896.613159 822.610840 889.829102 824.519775 70.052299499511719 0.852234006 787.66532521699298
896.667236 822.643372 889.939758 824.401062 69.115837097167969 0.852760732 787.07084991787826
896.675842 822.606812 890.139221 824.251953 67.000251770019531 0.842913985 785.92460367912736
896.608887 822.635742 890.267700 824.296936 65.158355712890625 0.853790224 784.93119814904571
896.635193 822.585266 890.285400 824.120789 64.936195373535156 0.847898304 785.05677013030186
896.638184 822.644775 890.195312 824.055237 65.558792114257812 0.854492486 785.82165146169814
896.657043 822.661682 890.357483 824.135193 64.307800292968750 0.852146268 788.45369036806028
896.670532 822.609558 890.287598 824.092957 65.137207031250000 0.841832280 785.73779910254427
896.664307 822.601013 890.409729 824.242981 64.277145385742188 0.846402287 782.98568157427678
896.665833 822.573853 890.273621 824.103516 65.332534790039062 0.849791050 786.35457653400965
896.603088 822.631226 890.190308 824.199158 65.620689392089844 0.847172737 788.01014990378883
896.685730 822.589111 890.044128 824.156677 67.831398010253906 0.850076318 788.61160928345271
896.717957 822.629028 890.224854 824.188477 66.376770019531250 0.845055580 788.97197205374357
896.687988 822.632507 890.203979 824.377075 66.743148803710938 0.846380293 785.49559225308508
896.621277 822.595825 890.162842 824.408264 66.676818847656250 0.850956023 781.77567449869503
896.660461 822.629211 890.226990 824.214539 65.861648559570312 0.849931836 781.55748491433337
896.626526 822.625488 890.191772 824.203735 65.857215881347656 0.851071060 782.02926402200035
896.593994 822.604248 890.127136 824.234863 66.292533874511719 0.850683987 785.99408009356546
896.587585 822.629822 890.036011 824.194092 66.953163146972656 0.857649088 786.16890461979187
896.610596 822.648254 889.956299 824.232849 67.993232727050781 0.859140456 785.32910014249285
896.642334 822.577148 889.984863 824.407104 68.629669189453125 0.855404258 784.31584249071932
896.631226 822.576294 889.975891 824.550781 69.003990173339844 0.853287160 785.54423209287904
896.588928 822.599365 889.951477 824.507568 68.648635864257812 0.861105204 784.85845915092693
896.645142 822.634033 889.895508 824.527954 69.682510375976562 0.852151811 787.31926241317433
896.599915 822.645142 890.056946 824.390442 67.311126708984375 0.855172515 784.87882238942575
896.653198 822.560974 890.228027 824.479370 66.652175903320312 0.850255847 785.71184948257917
896.691284 822.582336 890.296692 824.489197 66.328125000000000 0.848772168 787.67591142638059
896.646729 822.582336 890.195740 824.303833 66.366760253906250 0.848909438 781.95072788685354
896.722961 822.639832 890.276550 824.136780 65.782279968261719 0.844262719 790.44636699802243
896.661804 822.632385 890.372864 824.327087 64.741981506347656 0.851582944 784.70705533299247
896.577820 822.613464 890.252686 824.268738 64.989089965820312 0.853087902 789.14232298803142
896.655212 822.679688 890.261230 824.195801 65.318428039550781 0.853113592 790.44167546703886
896.641235 822.572693 890.257996 824.367065 65.908660888671875 0.854274392 784.02050938622642
896.646973 822.585632 890.232727 824.437927 66.362838745117188 0.852549791 782.39321453900379
896.696411 822.577637 890.349731 824.383118 65.589012145996094 0.847758710 786.98619549196610
896.607178 822.629944 890.286011 824.356079 65.132942199707031 0.847167611 787.46301899202433
896.676514 822.595154 890.174805 824.517822 67.393547058105469 0.852240622 785.78571687261115
896.604309 822.595032 890.130920 824.640259 67.480606079101562 0.855433583 786.88008891031996
896.638184 822.592346 890.225220 824.569153 66.704635620117188 0.846240222 786.88298976512942
896.630310 822.595032 890.273499 824.605042 66.270202636718750 0.855188906 787.42009389513908
896.635071 822.640869 890.295044 824.411926 65.432518005371094 0.848369420 785.53097476492019
896.628235 822.614563 890.123474 824.424988 67.114906311035156 0.856139898 781.36225213063915
896.609619 822.615723 890.268860 824.243286 65.070335388183594 0.853889644 783.84692034401235
896.636353 822.598999 890.097778 824.337280 67.250961303710938 0.853050947 780.70075521669094
896.664124 822.632690 890.061768 824.317383 67.730209350585938 0.849503040 783.42860343849316
896.681335 822.636292 890.187988 824.304199 66.639137268066406 0.838293970 792.08618129600916
896.724609 822.644775 890.313416 824.233948 65.655845642089844 0.841998637 791.52536993518754
896.717407 822.610352 890.366699 824.335327 65.413230895996094 0.842642426 788.44114064312282
896.679993 822.615967 890.446960 824.367371 64.355728149414062 0.839071512 788.70001870766714
896.709229 822.586853 890.371765 824.354980 65.400146484375000 0.842269063 787.89497689936593
896.674194 822.625854 890.190735 824.190552 66.295791625976562 0.848704815 782.53219454981513
896.644165 822.633423 890.198486 824.293091 66.159843444824219 0.856447697 782.89030789280241
896.629822 822.613525 890.333252 824.250671 64.668876647949219 0.852921546 783.12645317503473
896.633911 822.632812 890.201782 824.264343 65.960098266601562 0.854241490 781.82903084679788
896.615845 822.637939 890.164856 824.313904 66.251502990722656 0.854690194 782.82885383094754
896.587646 822.571777 890.075195 824.350037 67.103630065917969 0.855000138 786.93013709456829
896.694275 822.591614 890.246948 824.305664 66.312530517578125 0.843098462 785.54062841387270
896.647095 822.623718 890.354431 824.401794 64.998153686523438 0.848482251 783.90199706697024
896.616455 822.565918 890.174622 824.474792 66.783943176269531 0.846672177 787.99799865030184
896.674316 822.627991 890.246277 824.503052 66.557586669921875 0.853557765 787.10762196770600
896.608215 822.631470 890.219360 824.336731 65.728416442871094 0.845209062 788.60470254308962
896.599792 822.635071 890.142578 824.355225 66.423110961914062 0.851871133 784.90612070050031
896.655334 822.581604 890.295349 824.190247 65.209083557128906 0.852160990 783.99402264216235
896.650208 822.677795 890.161987 824.130432 66.089530944824219 0.853502154 789.43344547430513
896.642273 822.586304 889.998962 824.044739 67.607055664062500 0.849155962 791.01191853329897
896.619202 822.644287 889.925598 824.223938 68.362075805664062 0.850041807 788.18727995047448
896.606018 822.566833 890.026367 824.376526 67.830421447753906 0.851538897 786.73710153383945
896.603638 822.655029 889.949524 824.317810 68.175697326660156 0.862244010 787.13335573416350
896.658691 822.632935 890.103699 824.231689 67.066604614257812 0.850969195 782.23804271316567
896.621582 822.616028 890.002441 824.268311 67.813140869140625 0.852602124 782.36171197708086
896.681702 822.630676 889.976685 824.312622 68.712791442871094 0.845918775 789.71588903563838
896.631775 822.622986 890.019531 824.317200 67.848876953125000 0.852353454 781.64670845840760
896.640747 822.592468 890.113220 824.447021 67.451499938964844 0.853808761 781.63460950286196
896.663330 822.592346 889.994202 824.376709 68.622886657714844 0.852575243 784.24783816079810
896.618652 822.582275 890.094116 824.414246 67.361877441406250 0.855496883 782.48962820292206
896.558777 822.604248 889.902649 824.409363 68.551757812500000 0.857936621 789.20332720934960
896.620972 822.608765 889.997009 824.417297 68.252174377441406 0.850051939 783.71516382079869
896.627441 822.660522 889.997498 824.458435 68.281822204589844 0.853458941 787.18254738718213
896.656738 822.599365 890.111450 824.392334 67.457038879394531 0.854040384 781.84301710606155
896.606018 822.620300 890.120361 824.308167 66.614791870117188 0.860053122 783.88447061357465
896.643616 822.616394 889.938599 824.314331 68.751640319824219 0.854005218 782.88815395506583
896.606201 822.621155 889.892273 824.376892 68.980621337890625 0.857443333 783.14065595728721
896.605164 822.583191 889.953491 824.387451 68.506790161132812 0.858781457 784.23239865408050
896.613586 822.588440 890.022766 824.581360 68.442253112792969 0.859787285 785.30030689844614
896.580383 822.673889 889.865051 824.390625 68.897079467773438 0.862634718 792.55281159482638
896.598938 822.663574 889.882874 824.378479 68.899627685546875 0.866968155 792.38053173404649
896.597595 822.576782 889.861816 824.492004 69.607536315917969 0.862971306 787.79174534813433
896.575806 822.622864 889.949768 824.299683 67.939079284667969 0.863518715 787.57975593900767
896.609741 822.646606 889.963867 824.154358 67.738716125488281 0.861120582 787.36569816211806
896.622131 822.625793 889.996948 824.268799 67.849151611328125 0.854418874 782.10373099596984
896.624756 822.612305 890.163391 824.412537 66.672180175781250 0.854081929 781.11514979302081
896.658997 822.595215 890.122620 824.430725 67.484710693359375 0.851671517 782.13781192544855
896.693665 822.611206 890.314697 824.432800 65.941558837890625 0.843040466 786.90147565037933
896.593750 822.614624 890.133118 824.266968 66.285720825195312 0.854334712 784.10529383772700
896.606079 822.616333 890.241211 824.076904 64.911178588867188 0.849890709 787.59913510221577
896.698669 822.628174 890.353821 824.100037 64.742507934570312 0.849296212 786.85159871990470
896.650513 822.605530 890.313171 824.084961 64.686882019042969 0.855442047 786.45298409281293
896.648438 822.543945 890.148315 824.159302 66.576454162597656 0.849773407 791.68548533640308
896.635071 822.659424 890.320374 824.041687 64.254280090332031 0.854037583 789.83416710568270
896.649109 822.576660 890.380127 824.109314 64.148941040039062 0.851948082 787.57580150726358
896.698547 822.608765 890.362366 824.088684 64.676757812500000 0.847050011 785.97947208502478
896.684204 822.609558 890.326416 824.106262 64.923942565917969 0.853137553 786.88285620395891
896.621033 822.632324 890.325928 824.208496 64.504905700683594 0.854656816 785.48521835663291
896.618530 822.601807 890.277466 824.271423 65.178451538085938 0.858497322 785.58192311376661
896.657837 822.608215 890.317383 824.179382 64.930290222167969 0.850328982 782.05138383981125
896.678589 822.648193 890.149048 824.168030 66.638641357421875 0.842631519 788.95444074745353
896.673096 822.617493 890.145813 824.303162 67.009826660156250 0.853259027 782.67918882524032
896.612305 822.575806 890.051941 824.324158 67.486015319824219 0.853042066 784.23187027595986
896.609802 822.654602 890.186890 824.259766 65.807273864746094 0.855885684 786.19612205986232
896.657227 822.605469 890.172058 824.157776 66.283523559570312 0.843716681 785.16973614609878
896.625549 822.605103 890.091919 824.231262 66.925590515136719 0.847898364 783.92679204721594
896.671875 822.626465 889.947021 824.247498 68.759658813476562 0.852643371 786.21907955314418
896.622314 822.583069 890.138611 824.243896 66.528793334960938 0.860200405 786.40400984347059
896.646240 822.575867 890.167603 824.203003 66.397651672363281 0.863273501 794.04222301602567
896.577515 822.608948 890.188293 824.066650 65.140785217285156 0.856941164 792.37416665537705
896.603210 822.664612 890.257751 824.224487 64.951690673828125 0.851530015 790.58846419863255
896.666748 822.564392 890.102173 824.148621 67.125122070312500 0.858920634 793.96853146741205
896.627075 822.575806 890.149475 824.206482 66.396224975585938 0.860914588 789.09864464462453
896.600830 822.654053 890.300110 824.277588 64.674911499023438 0.853828728 789.60575051726926
896.631226 822.639221 890.196228 824.214417 65.852355957031250 0.845524549 785.68933742413628
896.613708 822.619812 890.308899 824.292969 64.839035034179688 0.844255924 787.89870807248019
896.654358 822.571167 890.423767 824.333801 64.362663269042969 0.854354084 788.93057261442721
896.671021 822.616211 890.421143 824.427612 64.680412292480469 0.842687905 787.16623781197404
896.667847 822.586975 890.224121 824.572083 67.021141052246094 0.851877689 786.73189970745489
896.653809 822.613708 890.044922 824.491211 68.291778564453125 0.864180863 791.15159547852534
896.593018 822.590088 889.878174 824.622192 69.735008239746094 0.856481493 787.33541685311002
896.587524 822.608887 889.898071 824.651001 69.522476196289062 0.858106315 787.33815722199631
896.605408 822.552002 890.085571 824.584229 67.882415771484375 0.852325320 790.04174278519417
896.621399 822.546265 890.148743 824.554810 67.364700317382812 0.859497547 792.06800223397886
896.575500 822.630066 890.210876 824.601746 66.230506896972656 0.865047276 797.38649881655783
896.586365 822.596985 890.051880 824.704712 68.248069763183594 0.859146953 789.81821684908016
896.659180 822.602539 890.242432 824.621155 66.864112854003906 0.853260696 787.98002737146828
896.631531 822.620361 890.229187 824.510681 66.355224609375000 0.858602285 786.16080232757588
896.666626 822.633545 890.380554 824.355591 64.785728454589844 0.851610541 785.69877935218176
896.660461 822.581848 890.246521 824.362000 66.164543151855469 0.844533741 783.72840672614461
896.669067 822.622498 890.194336 824.254883 66.372726440429688 0.848855972 781.60061648208841
896.656128 822.584473 890.166199 824.383972 66.943801879882812 0.850891650 781.97062403880295
896.648743 822.603577 890.178650 824.352417 66.620643615722656 0.852865279 780.61575609554427
896.663513 822.595825 890.369507 824.328369 64.889411926269531 0.852325380 784.00176618232149
896.682373 822.579651 890.400879 824.290527 64.712577819824219 0.844690979 784.73491044695436
896.649902 822.641418 890.248108 824.294067 65.720024108886719 0.852093101 782.69059761329049
896.645569 822.613159 890.202515 824.143982 65.826789855957031 0.856154203 783.67478030386110
896.638062 822.601929 890.075012 824.116760 66.951881408691406 0.861419976 788.72278087181064
896.620911 822.621338 890.085266 824.284424 67.034591674804688 0.850818932 782.08962263772764
896.671875 822.625183 890.056335 824.320984 67.884521484375000 0.848080277 784.34951435981486
896.612732 822.592651 890.002075 824.465027 68.294799804687500 0.856056571 782.46967944905612
896.608032 822.602661 890.068848 824.277771 67.098258972167969 0.854703486 782.29187568404609
896.586670 822.602295 890.116943 824.195068 66.229263305664062 0.850875497 788.19662597075910
896.682922 822.564819 890.186584 824.224487 66.647605895996094 0.847444475 787.39632439935599
896.646667 822.665955 890.272461 824.148743 65.051330566406250 0.856776237 789.78732307106259
896.617004 822.588562 890.165100 824.256409 66.240074157714844 0.858654737 784.64257815531357
896.555481 822.590576 889.991577 824.210144 67.201919555664062 0.861638367 793.61271000796432
896.611938 822.637695 890.125427 824.145935 66.195930480957031 0.860501826 786.92574162905760
896.634705 822.566772 890.083191 824.199524 67.113929748535156 0.858946204 788.94540188195231
896.634583 822.607544 890.241577 824.196716 65.480377197265625 0.860767663 787.70860417790811
896.632935 822.575073 890.226196 824.200195 65.699798583984375 0.854293883 784.84502586243264
896.693787 822.636597 890.112732 824.374390 67.657890319824219 0.856449127 790.23919490061860
896.584045 822.614197 890.009094 824.503296 67.999099731445312 0.846357703 794.67894468458007
896.592896 822.564697 889.888184 824.452759 69.236892700195312 0.848613977 795.01862975925633
896.598022 822.569397 889.986267 824.318604 67.981918334960938 0.851899624 788.30126973037090
896.704712 822.610779 890.073364 824.268005 67.942764282226562 0.847164154 788.84833222756572
896.656189 822.608032 890.223755 824.200256 65.868072509765625 0.852981448 781.72440251111061
896.632385 822.612549 890.397522 824.220642 64.002700805664062 0.852610886 784.96215727983144
896.676208 822.641174 890.292358 824.072205 65.030235290527344 0.849038124 785.15215314585168
896.665466 822.644470 890.125854 824.175171 66.760665893554688 0.843423128 787.94275179945316
896.606323 822.667786 890.120850 824.340332 66.574829101562500 0.853584409 788.61032033821334
896.646912 822.585815 890.273926 824.275696 65.536674499511719 0.850156486 781.76799368292961
896.621155 822.591248 890.142578 824.206543 66.368484497070312 0.851183593 783.12063238661995
896.706543 822.621582 890.157898 824.347168 67.315444946289062 0.847168386 787.73136934021716
896.604187 822.626038 889.960938 824.496887 68.602447509765625 0.855076432 783.91157753328343
896.660034 822.632996 890.041809 824.557434 68.509864807128906 0.856429160 787.15496849346755
896.584045 822.624512 890.124512 824.371033 66.513313293457031 0.856342971 785.34453166400749
896.643860 822.646729 890.274353 824.314392 65.446968078613281 0.853504300 784.28534805763059
896.607483 822.591431 890.349976 824.375732 64.678878784179688 0.856567681 787.51704407105183
896.655212 822.624451 890.154907 824.394348 66.965286254882812 0.852829516 781.62423669961174
